year,wdi_gini,wdi_gdp_pc_usd,wdi_gdp_growth,wdi_trade_gdp,wdi_fdi_gdp,wdi_unemployment,wid_top1_inc,wid_top10_inc,wid_bottom50_inc,wid_top10_disp,wid_bottom50_disp,wid_top10_wealth,wid_top1_wealth,wiid_gini,wiid_palma,wiid_top5,wgi_va,wgi_pv,wgi_ge,wgi_rq,wgi_rl,wgi_cc,wgi_avg,log_gdp_pc,year_t,gear_era,d_wdi_trade_gdp,d_wdi_fdi_gdp,d_wdi_unemployment,d_wid_top1_inc,d_wid_top10_inc,d_wid_top10_wealth,d_wgi_avg
2010,60.9,5953.94506512821,3.03973288127956,50.4060871625999,0.884904611686012,24.683,0.1877,0.6143000000000001,0.0789,0.5425,0.1283,0.9017,0.5729000000000001,73.32000000000001,15.15,49.11,0.6224790359637188,0.579671224691358,0.5477377595011557,0.5876442631558351,0.6370863862321587,0.5611600431769991,0.5892964521202042,8.691809314984317,20,1,0.8185518347198055,-1.4272700917639278,1.1600000000000001,0.0019000000000000128,0.021400000000000086,0.0034999999999999476,0.05147093317788265
2011,,6067.12482726885,3.16855627858818,54.6363504358971,0.903381424332556,24.639,0.1865,0.6243000000000001,0.0736,0.5502,0.1237,0.8989,0.5758,69.4,11.85,,0.6831353547488256,0.5825581716732543,0.5353543823236757,0.5798931260864686,0.6284351662476314,0.531843762935694,0.590203327335925,8.710640102523593,21,1,4.230263273297197,0.018476812646543994,-0.04400000000000048,-0.0012000000000000066,0.010000000000000009,-0.0027999999999999137,0.0009068752157207483
2012,,6121.55783860713,2.39623238465745,55.5826171933345,1.06492249485696,24.727,0.1932,0.6544,0.059,0.5812,0.108,0.8886000000000001,0.5724,66.66,9.97,37.31,0.6793313140387187,0.6101278871794872,0.5359161339879978,0.5836866845198769,0.60511205211389,0.49822815963525074,0.585400371912537,8.71957189190634,22,1,0.9462667574373995,0.16154107052440403,0.08800000000000097,0.0067000000000000115,0.030099999999999905,-0.010299999999999976,-0.0048029554233879335
2013,,6170.87670863373,2.48546800826588,58.875027630051,2.05358095229684,24.561,0.1931,0.6542,0.0585,0.5786,0.1082,0.8794000000000001,0.5626,,,,0.6914823080675734,0.5142158025193798,0.6415347434231573,0.5725917729944308,0.6895101801785489,0.5129799396144867,0.6037191244662629,8.727596198966356,23,1,3.2924104367165015,0.9886584574398798,-0.16600000000000037,-0.00010000000000001674,-0.00019999999999997797,-0.009199999999999986,0.018318752553725837
2014,59.6,6155.00589462516,1.41382645223793,59.4995740550593,1.51932743753979,24.89,0.1931,0.6541,0.0581,0.5774,0.1093,0.869,0.548,,,,0.7045287331481879,0.6148727597402597,0.5947815740935672,0.5609803739855862,0.6665451026076094,0.492489390244911,0.6056996556366868,8.725020996315116,24,1,0.6245464250082975,-0.5342535147570497,0.3290000000000006,0.0,-9.999999999998899e-05,-0.010400000000000076,0.0019805311704239603
2015,,6112.27382485974,1.32186223678229,56.7266761447156,0.438735792056356,25.149,0.1931,0.6541,0.0581,0.5709000000000001,0.1129,0.8692000000000001,0.5504,67.46000000000001,10.18,39.77,0.7000587050755698,0.5659409892382948,0.5573368133423181,0.5188580065060779,0.6475540421360375,0.49671740258015074,0.5810776598130748,8.718054131030598,25,1,-2.7728979103437013,-1.0805916454834341,0.25900000000000034,0.0,0.0,0.000200000000000089,-0.02462199582361202
2016,,6095.295060428,0.664552307858116,55.8612575048782,0.684612553455795,26.536,0.1931,0.6541,0.0581,0.5745,0.1123,0.8676,0.5377000000000001,,,,0.6941026807276596,0.58534632,0.528797667948718,0.5215682190662405,0.7352030607843137,0.4948551366666667,0.5933121808655998,8.715272450986127,26,1,-0.8654186398373938,0.24587676139943898,1.3870000000000005,0.0,0.0,-0.0016000000000000458,0.012234521052524983
2017,,6125.6920507497,1.15794695181735,53.5359318293741,0.539673956759456,27.035,0.1931,0.6541,0.0581,0.5655,0.1198,0.8556,0.5473,66.99,10.05,38.53,0.6603283862191354,0.618897541890166,0.5364139893899205,0.5065639532111763,0.686936104861391,0.46837923261002273,0.5795865346969686,8.72024701690778,27,1,-2.3253256755041036,-0.14493859669633902,0.4989999999999988,0.0,0.0,-0.01200000000000001,-0.013725646168631145
2018,,6117.2701406047,1.55678384721676,54.4855451276341,1.3742911715346,26.906,0.1931,0.6541,0.0581,0.5601,0.1258,0.8555,0.5471,,,,0.685786562449537,0.6308490901639344,0.5751436546807573,0.531143554879626,0.6752753702912205,0.4285627552375043,0.5877934979504299,8.718871220537295,28,1,0.9496132982599974,0.8346172147751441,-0.12900000000000134,0.0,0.0,-9.999999999998899e-05,0.008206963253461264
2019,,6032.82972598668,0.25993557687633,53.8979964081406,1.31407752293306,28.468,0.1931,0.6541,0.0581,0.5670000000000001,0.1197,0.8555,0.5472,,,,0.6732197779324101,0.6245614089831804,0.5521562425153055,0.5012157760286714,0.6462137843297056,0.47802472347078967,0.5792319522100103,8.704971454270988,29,1,-0.5875487194934976,-0.060213648601540104,1.5620000000000012,0.0,0.0,0.0,-0.008561545740419563
2020,,5569.58483319272,-6.1689177146757,50.7596590804177,0.933073684352391,29.217,0.1931,0.6541,0.0581,0.5601,0.1283,0.8556,0.5473,,,,0.7069133875874125,0.6049159256410256,0.5552830321937322,0.4479697435668498,0.7099695601709402,0.38227627464387465,0.5678879873006393,8.625075793912258,30,1,-3.138337327722901,-0.3810038385806689,0.7489999999999988,0.0,0.0,9.999999999998899e-05,-0.011343964909371063
2021,,5750.90937479584,4.85864865060148,56.1647136277546,9.68098022663018,34.007,0.1931,0.6541,0.0581,0.5670000000000001,0.1226,0.8556,0.5472,,,,0.7367663617730696,0.6505896662189055,0.5527155972755272,0.48964431656614504,0.7094299648561486,0.4291996462713277,0.594724258826854,8.657113273425072,31,1,5.405054547336903,8.74790654227779,4.789999999999999,0.0,0.0,0.0,0.026836271526214706
2022,54.1,5786.86505344736,2.05813661692193,64.94713440234,2.26670277731613,33.268,0.1931,0.6541,0.0581,0.5670000000000001,0.1219,0.8555,0.5472,,,,0.7054292892893123,0.6029339709244342,0.5298110016584358,0.48006732335363494,0.6769499803180065,0.4229263003003728,0.5696863109740328,8.663345982388412,32,1,8.782420774585397,-7.414277449314049,-0.7389999999999972,0.0,0.0,-9.999999999998899e-05,-0.025037947852821207
2023,,5756.55049453121,0.80610455095804,65.6798759740707,1.0127377916456,32.098,0.1931,0.6541,0.0581,0.5666,0.1214,0.8556,0.5473,,,,0.7298917452498103,0.5795841777777777,0.5344168684210526,0.47197594199108683,0.705379933011714,0.3980641012105853,0.5698854612770045,8.658093701816968,33,1,0.7327415717306991,-1.2539649856705302,-1.1700000000000017,0.0,0.0,9.999999999998899e-05,0.00019915030297168457
2024,,,,,,,0.2193,0.6654,0.0527,0.5772,0.1172,0.8567,0.5491,,,,0.6809256360286673,0.5949918696969697,0.4782590736214605,0.4629294453225666,0.6080689101838815,0.40382047183400377,0.5381659011145916,,34,1,,,,0.0262,0.011299999999999977,0.0010999999999999899,-0.03171956016241284
